v	w
0.0499999	3.14507
0.05	3.14407
0.05	3.14371
0.05	3.14348
0.05	3.14291
0.05	3.14267
0.05	3.1424
0.05	3.14195
0.05	3.14214
0.05	3.14319
0.05	3.14416
0.05	3.14528
0.05	3.1462
0.05	3.14728
0.05	3.14871
0.05	3.15
0.05	3.15083
0.05	3.15227
0.05	3.15409
0.05	3.15557
0.05	3.15725
0.05	3.15937
0.05	3.16148
0.05	3.16411
0.05	3.16654
0.05	3.16866
0.05	3.17122
0.05	3.17378
0.05	3.17585
0.05	3.17795
0.05	3.17956
0.05	3.18092
0.05	3.18256
0.05	3.18346
0.05	3.1837
0.05	3.18317
0.05	3.1828
0.05	3.18403
0.05	3.18502
0.05	3.1864
0.05	3.18724
0.05	3.1886
0.05	3.19125
0.05	3.19417
0.05	3.19682
0.05	3.19949
0.05	3.20106
0.05	3.20225
0.05	3.20474
0.05	3.20804
0.05	3.21176
0.05	3.21494
0.05	3.21762
0.05	3.21992
0.05	3.22144
0.05	3.22181
0.05	3.2224
0.05	3.22267
0.05	3.22155
0.05	3.22091
0.05	3.22138
0.05	3.2207
0.05	3.21948
0.05	3.21738
0.05	3.21522
0.05	3.21349
0.05	3.2122
0.05	3.21129
0.05	3.21079
0.05	3.21094
0.05	3.21097
0.05	3.21088
0.05	3.21044
0.05	3.21056
0.05	3.21086
0.05	3.21127
0.05	3.2115
0.05	3.21155
0.05	3.21116
0.05	3.21256
0.05	3.21404
0.05	3.21504
0.05	3.21631
0.05	3.21814
0.05	3.22048
0.05	3.22157
0.05	3.2222
0.05	3.22207
0.05	3.22278
0.05	3.22406
0.05	3.22563
0.05	3.22758
0.05	3.22984
0.05	3.2325
0.05	3.23476
0.05	3.23657
0.05	3.23815
0.05	3.24017
0.05	3.24291
0.05	3.24587
0.05	3.24922
0.05	3.25236
0.05	3.25504
0.05	3.25822
0.05	3.26081
0.05	3.26259
0.05	3.26416
0.05	3.26692
0.05	3.26954
0.05	3.27278
0.05	3.2764
0.05	3.27984
0.05	3.2828
0.05	3.28542
0.05	3.28827
0.05	3.29106
0.05	3.29096
0.05	3.29006
0.05	3.28771
0.05	3.28517
0.05	3.28289
0.05	3.28162
0.05	3.28131
0.05	3.28094
0.05	3.27992
0.05	3.27869
0.05	3.27741
0.05	3.276
0.05	3.27463
0.05	3.27329
0.05	3.27357
0.05	3.27492
0.05	3.27651
0.05	3.27767
0.05	3.27828
0.05	3.279
0.05	3.28133
0.05	3.28325
0.05	3.28233
0.05	3.28123
0.05	3.28032
0.05	3.27943
0.05	3.27923
0.05	3.27983
0.05	3.27967
0.05	3.27849
0.05	3.27701
0.05	3.27627
0.05	3.27618
0.05	3.27631
0.05	3.2763
0.05	3.27608
0.05	3.27513
0.05	3.27489
0.05	3.2755
0.05	3.27661
0.05	3.27679
0.05	3.27724
0.05	3.2777
0.05	3.27926
0.05	3.28118
0.05	3.28347
0.05	3.28485
0.05	3.28643
0.05	3.28725
0.05	3.28841
0.05	3.28984
0.05	3.29216
0.05	3.29467
0.05	3.29778
0.05	3.30045
0.05	3.30275
0.05	3.30561
0.05	3.30896
0.05	3.31262
0.05	3.31396
0.05	3.31463
0.05	3.31569
0.05	3.31729
0.05	3.32006
0.05	3.32338
0.05	3.32694
0.05	3.33042
0.05	3.33359
0.05	3.33631
0.05	3.33801
0.05	3.33827
0.05	3.33908
0.05	3.34008
0.05	3.34131
0.05	3.34323
0.05	3.34588
0.05	3.34852
0.05	3.34979
0.05	3.3506
0.05	3.35108
0.05	3.35178
0.05	3.35298
0.05	3.35405
0.05	3.35413
0.05	3.35499
0.05	3.35696
0.05	3.35835
0.05	3.36082
0.05	3.36329
0.05	3.36505
0.05	3.36628
0.05	3.36724
0.05	3.36888
0.05	3.3707
0.05	3.37262
0.05	3.37462
0.05	3.37673
0.05	3.37924
0.05	3.38199
0.05	3.38437
0.05	3.387
0.05	3.39
0.05	3.39272
0.05	3.39478
0.05	3.3966
0.05	3.39819
0.05	3.3988
0.05	3.39984
0.05	3.40027
0.05	3.40104
0.05	3.40253
0.05	3.40331
0.05	3.40425
0.05	3.40612
0.05	3.40798
0.05	3.40991
0.05	3.41207
0.05	3.41376
0.05	3.41591
0.05	3.4181
0.05	3.42055
0.05	3.42345
0.05	3.42659
0.05	3.43057
0.05	3.43651
0.05	3.44236
0.05	3.44782
0.05	3.45291
0.05	3.45819
0.05	3.46288
0.05	3.46709
0.05	3.47068
0.05	3.47471
0.05	3.478
0.05	3.48141
0.05	3.48451
0.05	3.48624
0.05	3.48686
0.05	3.48743
0.05	3.48827
0.05	3.48904
0.05	3.48914
0.05	3.4889
0.05	3.48901
0.05	3.48903
0.05	3.48993
0.05	3.49131
0.05	3.49246
0.05	3.49173
0.05	3.49118
0.05	3.49061
0.05	3.49086
0.05	3.49107
0.05	3.49178
0.05	3.49294
0.05	3.4945
0.05	3.49608
0.05	3.49756
0.05	3.49901
0.025	1.7495
0.0125	0.874752
0.00625	0.437376
0.003125	0.218688
